1,2,7.2
1,3,3.8
1,4,11.0
1,5,2.2
1,6,3.5
1,7,10.9
1,8,8.6
1,9,7.6
1,10,2.8
1,11,6.4
1,12,3.2
1,13,7.6
1,14,5.2
1,15,4.4
1,16,3.7
1,17,7.6
1,18,2.0
1,19,3.6
1,20,6.5
1,21,1.9
1,22,3.4
1,23,2.4
1,24,6.4
1,25,2.4
1,26,5.0
1,27,3.6
2,3,7.1
2,4,6.4
2,5,6.0
2,6,4.8
2,7,1.6
2,8,2.8
2,9,4.8
2,10,6.3
2,11,7.3
2,12,5.3
2,13,4.8
2,14,3.0
2,15,4.6
2,16,4.5
2,17,7.4
2,18,6.0
2,19,5.0
2,20,4.8
2,21,9.5
2,22,10.9
2,23,8.3
2,24,6.9
2,25,10.0
2,26,4.4
2,27,13.0
3,4,9.2
3,5,4.4
3,6,2.8
3,7,8.6
3,8,6.3
3,9,5.3
3,10,1.6
3,11,10.4
3,12,3.0
3,13,5.3
3,14,6.5
3,15,5.6
3,16,5.8
3,17,5.7
3,18,4.1
3,19,3.6
3,20,4.3
3,21,3.3
3,22,5.0
3,23,6.1
3,24,9.7
3,25,6.1
3,26,2.8
3,27,7.4
4,5,5.6
4,6,6.9
4,7,8.6
4,8,4.0
4,9,11.1
4,10,7.3
4,11,1.0
4,12,6.4
4,13,11.1
4,14,3.9
4,15,4.3
4,16,4.4
4,17,7.2
4,18,5.3
4,19,6.0
4,20,10.6
4,21,5.9
4,22,7.4
4,23,4.7
4,24,0.6
4,25,6.4
4,26,10.1
4,27,10.1
5,6,1.9
5,7,7.9
5,8,5.1
5,9,7.5
5,10,2.6
5,11,6.5
5,12,1.5
5,13,7.5
5,14,3.2
5,15,2.4
5,16,2.7
5,17,1.4
5,18,0.5
5,19,1.7
5,20,6.5
5,21,3.2
5,22,5.2
5,23,2.5
5,24,6.0
5,25,4.2
5,26,5.4
5,27,5.5
6,7,6.3
6,8,4.3
6,9,4.5
6,10,1.5
6,11,8.7
6,12,0.8
6,13,4.5
6,14,3.9
6,15,3.0
6,16,3.8
6,17,5.7
6,18,1.9
6,19,1.1
6,20,3.5
6,21,4.9
6,22,6.9
6,23,4.2
6,24,9.0
6,25,5.9
6,26,3.5
6,27,7.2
7,8,4.0
7,9,4.2
7,10,8.0
7,11,8.6
7,12,6.9
7,13,4.2
7,14,4.2
7,15,8.0
7,16,5.8
7,17,7.2
7,18,7.7
7,19,6.6
7,20,3.2
7,21,11.2
7,22,12.7
7,23,10.0
7,24,8.2
7,25,11.7
7,26,5.1
7,27,14.2
8,9,7.7
8,10,9.3
8,11,4.6
8,12,4.8
8,13,7.7
8,14,1.6
8,15,3.3
8,16,3.4
8,17,3.1
8,18,5.1
8,19,4.6
8,20,6.7
8,21,8.1
8,22,10.4
8,23,7.8
8,24,4.2
8,25,9.5
8,26,6.2
8,27,10.7
9,10,4.8
9,11,11.9
9,12,4.7
9,13,0.6
9,14,7.6
9,15,7.8
9,16,6.6
9,17,7.2
9,18,5.9
9,19,5.4
9,20,1.0
9,21,8.5
9,22,10.3
9,23,7.8
9,24,11.5
9,25,9.5
9,26,2.8
9,27,14.1
10,11,9.4
10,12,1.1
10,13,5.1
10,14,4.6
10,15,3.7
10,16,4.0
10,17,6.7
10,18,2.3
10,19,1.8
10,20,4.1
10,21,3.8
10,22,5.8
10,23,4.3
